two,10083
young,6145
guys,283
with,16167
shaggy,34
hair,1205
look,579
at,7420
their,1749
hands,719
while,5007
hanging,305
out,1596
in,38519
the,29733
yard,254
white,6529
males,110
are,8953
outside,2038
near,1542
many,537
bushes,52
men,4204
green,2404
shirts,452
standing,4144
a,125587
man,18884
blue,5072
shirt,6324
garden,111
friends,193
enjoy,92
time,136
spent,1
together,913
several,911
hard,303
hats,398
operating,47
giant,88
pulley,16
system,16
workers,569
down,3228
from,1809
up,2487
above,319
on,20891
piece,342
of,17152
equipment,234
working,1028
machine,222
wearing,6920
four,1083
top,1086
tall,232
structure,189
three,2730
large,2239
rig,7
child,2783
pink,1306
dress,872
is,18799
climbing,585
set,276
stairs,228
an,6655
entry,6
way,117
little,2598
girl,4838
going,247
into,1749
wooden,566
cabin,13
to,7641
her,3076
playhouse,14
building,1443
someone,370
and,19541
hat,1781
stair,16
leaning,260
against,438
window,465
ladder,161
cleaning,190
cleans,34
jeans,844
windows,87
one,2767
gray,1005
black,5974
stove,60
guy,605
cooking,248
joking,4
around,1459
camera,1183
kitchen,400
food,788
preparing,234
meal,142
people,7619
photo,253
playing,4244
guitar,937
other,1715
poking,12
him,883
holds,889
observes,31
his,5013
fixing,95
players,422
costume,222
stitching,2
another,1592
s,1023
coat,612
boys,1063
sits,1198
chair,505
holding,3199
stuffed,88
animal,152
lion,20
sitting,4405
completes,7
finishing,18
touches,32
toy,703
smiling,984
rollerskates,21
talking,931
cellphone,291
parking,155
lot,257
trendy,3
gliding,16
slowly,7
street,2750
adult,233
rollerblades,29
cellular,3
phone,190
ear,76
there,713
skating,102
woman,9336
asian,892
suit,609
stands,1431
dark,800
haired,562
brown,2747
pipes,20
metal,307
railing,151
walks,849
past,341
dressed,1445
hip,13
outfits,121
purse,95
walking,2701
by,2480
gate,60
germany,3
jumping,1647
over,1814
rail,147
same,131
without,55
youths,15
roadside,13
night,327
dancing,396
poles,76
middle,544
no,167
five,421
ballet,35
dancers,71
caught,57
mid,68
